ts	p	f	e	r	c	l	ec	ep	infap	infaf	infbp	infbf	noInf	app	apf	ppp	ppf	psp	psf	ssp	ssf	tppp	tppf	prp	prf	pprtp	pprtf	shortIntrans	noOo	sepOo	separationAtP	separationAtF	diacExcept	a
1527816609	آباد	aabáad	established, populated, prosperous, built	4	adj.																													2
1709915524063	اباد	abáad	established, populated, prosperous, built																															2
1566552178969	آبچکن	aabchakán	moire, having and undulating appearance, pattern, or texture	2	adj.																													2
1575058865062	آبدار	aabdáar	sparkling, shining; honorable, respectable, dignified, glorious; tempered, hardened (metal)	2	adj.																													2
1527822106	آبي	aabée	moist, humid; pertaining to watering, irrigation; sky-blues	4	adj.																													2
1527813777	عادي	aadée, 'aadée	ordinary, usual, accustomed to, normal	3	adj.																													2
1614168996327	عادل	aadíl	just, right, fair, true	4	adj.																													2
1527821158	آهنګ دار	aahang dáar	melodious, harmonious	3	adj.																													2
1527818896	آهني	aahinée, ahunée	iron; (fig. strong)	4	adj.																													2
1613562345137	عاجل	aajíl, 'aajíl	urgent, immediate, compelling, pressing	4	adj.																													2
1527814889	عاجز	aajíz	weak, poor, humble, introverted, shy, innocent, cautious, reserved	4	adj.		poor thing																										TRUE	2
1527821999	آخري	aakhirée	last, final, definitive, conclusive	4	adj.																													2
1527822003	آخرین	aakhiréen	last, final, latest	4	adj.																													2
1690458870216	آخرینی	aakhireenáy	last, final, latest	4	adj.																													2
1527815462	عالي	aalée, 'aalée	supreme, good, superior, high, great, fantastic	4	adj.																													2
1527814658	عام	aam	usual, ordinary, simple, public	4	adj.																													3
1527820765	عاقل	aaqíl	wise, sensible, intelligent, prudent	4	adj.																													2
1622461081707	آراسته	aaraastá	adorned, ornate, dressed up, decorated	2	adj.																													2
1671707118036	عارضي	aarazée, aarzée	temporary, tentative (Urdu)		adj.																													3
1527821000	عارف	aaríf	expert, learned, wise, knowledgeable	4	adj.																													2
1527820488	عاریتي	aariyatée	taken for temporary use, rented; false, fictitious	2	adj.																													2
1527823435	آرزومند	aarzoománd	desiring or aspiring to something	3	adj.																													2
1527816792	آسان	aasáan	easy	4	adj.																													2
1527812433	آسماني	aasmaanée	heavenly, of the sky	4	adj.																													2
1527819021	آسوده	aasoodá	quiet, peaceful; happy, content; comfortable, calm, well-off	4	adj.																													2
1527818414	آتش فشان	aatash fisháan	volcano; volcanic, pyrogenetic	4	n. m. / adj.																													3
1527823517	عاطف	aatíf	favorable, kind, gracious	2	adj.																													2
1588689220632	اتم	aatum	eigth	4	adj.																													
1575058859661	آبدار	aawdáar, aabdáar	watery, damp, humid, juicy	4	adj.																												true	2
1527817219	عاید	aayíd	relating to, belonging to	3	adj.																													2
1527812464	آزاد	aazáad	free, independent	4	adj.																													3
